# DEC<TAB>Tag
# Source: RadioReference MPSCS system (https://www.radioreference.com/db/sid/100), downloaded 2026-07-01.
# RadioReference page June 29, 2026, 03:13 am UTC.
# Parsed 7662 RadioReference talkgroups; preserved 7 local-only entries.
# Labels are Alpha Tag + Description; RR encrypted/partially encrypted modes append ENC/PART-ENC.
# Local-only TGIDs preserved: 2847, 32319, 32356, 32442, 32465, 32505, 32530.

770	29FPG03 Breckenridge Fire Page
771	29FEPG04 Ithaca Fire Rescue and EMS Page
772	29FPG04 Ithaca Fire Rescue Page
773	29FPG05 Perrinton Fire Page
774	29FRPG05 Perrinton Fire Rescue Page
775	29FPG06 Saint Louis Fire Rescue Page
1000	MSPADEAC All Districts: Emergency All Call
1001	D1EAC South/Central Region: Emergency All Call (Emergency Broadcasts)
1002	D3EAC Thumb/Tri Cities Region: Emergency All Call (Emergency Broadcasts)
1003	D1CIDEAC Central/South Region C.I.D. - Emergency All Call
1006	MSP1 MSP District 1
1007	MSP3 MSP District 3
1008	STATW1 Statewide District - 1
1009	STATW3 Statewide District - 3
1010	G-EVENT01 Event channel 1
1011	G-EVENT02 Event channel 2
1012	G-EVENT03 Event channel 3
1013	G-EVENT04 Event channel 4
1014	G-EVENT05 Event channel 5
1015	G-EVENT06 Event channel 6
1016	G-EVENT07 Event channel 7
1017	G-EVENT08 Event channel 8
1018	G-EVENT09 Event channel 9
1019	G-EVENT10 Event channel 10
1020	G-EVENT11 Event channel 11
1021	G-EVENT12 Event channel 12
1022	G-EVENT13 Event channel 13
1023	G-EVENT14 Event channel 14
1024	G-EVENT15 Event channel 15
1025	H-EVENT16 Event channel 16
1026	H-EVENT17 Event channel 17
1027	H-EVENT18 Event channel 18
1028	H-EVENT19 Event channel 19
1029	H-EVENT20 Event channel 20
1030	H-EVENT21 Event channel 21
1031	H-EVENT22 Event channel 22
1032	H-EVENT23 Event channel 23
1033	H-EVENT24 Event channel 24
1034	H-EVENT25 Event channel 25
1035	H-EVENT26 Event channel 26
1036	H-EVENT27 Event channel 27
1037	H-EVENT28 Event channel 28
1038	H-EVENT29 Event channel 29
1039	H-EVENT30 Event channel 30
1040	REGD1N Central Region: Dispatch (Posts 11 / 12)
1041	REGD1S South Region: Dispatch (Posts 13 / 14)
1042	D1LEIN South/Central Region: LEIN
1043	RGLEIN3 Thumb/Tri-Cities Region: LEIN
1044	D1SPARE1 South/Central Posts 11, 12, 13, 14 Spare 1 ENC
1045	D3MCU Major Crime Unit PART-ENC
1047	CSRT1 Crime Scene Response Team 1
1048	CSRT2 Crime Scene Response Team 2 PART-ENC
1049	MCREG1 District 1 Motor Carriers
1050	Region 3 Region 3 - Districtwide
1051	D12POST Post 12: Brighton: Motor Carrier Enforcement
1053	MC13 Post 13: Jackson: Motor Carrier Enforcement
1068	SWCID1 District - 1 Statewide C.I.D.
1069	SWCID2 District - 2 Statewide C.I.D.
1070	MSP CID C.I.D.
1071	MSP CID HQ 1 C.I.D. H.Q. 1
1072	MSP CID C.I.D.
1073	MSP CID C.I.D. ENC
1074	MSP CID C.I.D. ENC
1075	TRI CO NARC1 Tri-County Metro Narcotics Squad 1 ENC
1076	TRI CO NARC2 Tri-County Metro Narcotics Squad 2 ENC
1077	TRI CO NARC4 Tri-County Metro Narcotics Squad 4 ENC
1078	TRI CO NARC3 Tri-County Metro Narcotics Squad 3 PART-ENC
1080	MAGNET1 Mid-Michigan Area Group Narcotics Enforcement Team 1 PART-ENC
1081	MSP CID Detectives ENC
1082	MSP CID C.I.D. ENC
1083	MSP CID C.I.D. ENC
1084	MSP CID C.I.D. ENC
1085	MSP CID C.I.D. ENC
1086	MSP CID C.I.D. ENC
1087	MINT1 MINT1 Isabella - Clare Counties ENC
1088	BAYANET 2 Bay Area Narcotics Enforcement Team 2 ENC
1089	BAYANET 3 Bay Area Narcotics Enforcement Team 3 Saginaw, Bay, Midland Counties ENC
1090	STING1 STING1 - Strike Team Investigative Narcotics Group ENC
1093	78P911 Police Dispatch
1094	NCCTECH1 N.C.C. Technicians PART-ENC
1097	TRAIN3 Training Academy: Driver Training 3
1098	TRAIN2 Training Academy: Driver Training 2
1099	TRAIN1 Training Academy: Driver Training 1
1100	GOV1 Governor's Security Detail 1 ENC
1101	GOV2 Governor's Security Detail 2 ENC
1102	23COM Countywide Common (Mutual Aid all agencies)
1103	NCCRPU N.C.C. Radio Programming Unit PART-ENC
1104	D1CID1 Detectives ENC
1105	DNR STATW Statewide
1107	06P911 Police Dispatch
1108	RAP1 RAP 1
1109	RAP2 RAP 2
1110	RAP3 RAP 3
1111	DNR06 District 6 Dispatch
1112	DNR09 District 9: Dispatch
1118	33LFDADM Lansing Fire Admin
1120	33SPEV1 Special Events 1
1121	33SPEV2 Special Events 2
1126	19SPEV1 Special Events 1
1127	19SPEV2 Special Events 2
1134	19CRAAMNT Airport Maintenance
1135	EGLE Department of Environment, Great Lakes, and Energy
1136	MSEOC1 EOC 1
1137	MSEOC2 EOC 2
1138	TASK1 Tactical
1139	TASK2 Tactical
1140	MAJCOM1 Tactical
1141	ANG Tactical
1142	MAINTSW Maintenance Statewide
1143	MAMAN03 Tactical 3
1144	MAMAN04 Tactical 4
1145	MAMAN05 Tactical 5
1146	MAMAN06 Tactical 6
1147	MAMAN07 Tactical 7
1148	MAMAN08 Tactical 8 [Fort Custer area]
1149	DOCSCOM Southern Region Common
1150	DOC2901 Central Michigan Correctional Facility
1153	DOC4701 Woodland Center Correctional Facility 1
1154	DOC2902 St. Louis Correctional Facility
1156	DOC4602 Gus Harrison Correctional Facility 2
1157	DOC4702 Woodland Center Correctional Facility 2
1158	REGD3N Tri-Cities Region: Dispatch (Posts 31, 32)
1159	TECH1 District 1 Technicians ENC
1160	TECH3 District 3 Technicians PART-ENC
1161	SW TECH Statewide Tech. PART-ENC
1162	EMMGT1 State SEOC
1163	06DRUG County Narcotics Enforcement
1164	19DRUG County Narcotics
1165	23DRUG Countywide Drug Team Operations PART-ENC
1166	26DRUG County Narcotics (Future)
1167	29DRUG Countywide Narcotics Enforcement Common
1168	30DRUG Countywide Narcotics Enforcement Common
1169	33DRUG Ingham County Narcotics ENC
1170	35DRUG Countywide Narcotics
1171	38DRUG Jackson Narcotics Enforcement Team Tactical
1172	D14POST Post 14: Monroe
1173	56DRUG Narcotics
1175	65DRUG Countywide Narcotics Enforcement Common
1176	46COM Countywide Common (Mutual Aid all agencies)
1177	D35CRNA Post 35: Corunna Detachment
1178	19COM Countywide Common (Mutual Aid all agencies)
1179	30COM Countywide Common (Mutual Aid all agencies)
1180	33COM Countywide Common (Mutual Aid all agencies)
